song_id,title,rank,year
373,If U Seek Amy,74,2009
374,Big Green Tractor,75,2009
375,White Horse,76,2009
376,Disturbia,77,2009
377,21 Guns,78,2009
378,Turn My Swag On,79,2009
379,Rockin' That Thang,80,2009
380,Chicken Fried,81,2009
381,Diva,82,2009
382,Replay,83,2009
383,Then,84,2009
384,Her Diamonds,85,2009
385,How Do You Sleep?,86,2009
386,3,87,2009
387,Forever,88,2009
388,One Time,89,2009
389,I Run To You,90,2009
390,I Do Not Hook Up,91,2009
391,Green Light,92,2009
392,People Are Crazy,93,2009
393,Whatever It Is,94,2009
394,Already Gone,95,2009
395,Goodbye,96,2009
396,Say Hey (I Love You),97,2009
397,Pop Champagne,98,2009
398,Pretty Wings,99,2009
399,Never Say Never,100,2009
400,TiK ToK,1,2010
401,Need You Now,2,2010
402,"Hey, Soul Sister",3,2010
403,California Gurls,4,2010
404,OMG,5,2010
405,Airplanes,6,2010
406,Love The Way You Lie,7,2010
407,Bad Romance,8,2010
408,Dynamite,9,2010
409,Break Your Heart,10,2010
410,Nothin' On You,11,2010
411,I Like It,12,2010
412,BedRock,13,2010
413,In My Head,14,2010
414,Rude Boy,15,2010
415,Telephone,16,2010
416,Teenage Dream,17,2010
417,Just The Way You Are,18,2010
418,Cooler Than Me,19,2010
419,Imma Be,20,2010
420,Empire State Of Mind,21,2010
421,DJ Got Us Fallin' In Love,22,2010
422,Billionaire,23,2010
423,Not Afraid,24,2010
424,Replay,25,2010
425,Sexy Chick,26,2010
426,Breakeven,27,2010
427,Your Love Is My Drug,28,2010
428,I Gotta Feeling,29,2010
429,Fireflies,30,2010
430,Say Aah,31,2010
431,Find Your Love,32,2010
432,Alejandro,33,2010
433,Ridin' Solo,34,2010
434,Just A Dream,35,2010
435,How Low,36,2010
436,Like A G6,37,2010
437,Carry Out,38,2010
438,Haven't Met You Yet,39,2010
439,Club Can't Handle Me,40,2010
440,Down,41,2010
441,Bulletproof,42,2010
442,Whatcha Say,43,2010
443,Baby,44,2010
444,Whataya Want From Me,45,2010
445,Mine,46,2010
446,Only Girl (In The World),47,2010
447,Live Like We're Dying,48,2010
448,Hard,49,2010
449,Young Forever,50,2010
450,Blah Blah Blah,51,2010
451,Bottoms Up,52,2010
452,Do You Remember,53,2010
453,All The Right Moves,54,2010
454,According To You,55,2010
455,My Chick Bad,56,2010
456,You Belong With Me,57,2010
457,Meet Me Halfway,58,2010
458,Take It Off,59,2010
459,Over,60,2010
460,Animal,61,2010
461,Misery,62,2010
462,Magic,63,2010
463,Paparazzi,64,2010
464,Tie Me Down,65,2010
465,Your Love,66,2010
466,Party In The U.S.A.,67,2010
467,Deuces,68,2010
468,3,69,2010
469,Impossible,70,2010
470,Forever,71,2010
471,Two Is Better Than One,72,2010
472,My First Kiss,73,2010
473,Already Gone,74,2010
474,Rock That Body,75,2010
475,Secrets,76,2010
476,Naturally,77,2010
477,Un-Thinkable (I'm Ready),78,2010
478,All I Do Is Win,79,2010
479,I Made It (Cash Money Heroes),80,2010
480,Stuck Like Glue,81,2010
481,Hey Daddy (Daddy's Home),82,2010
482,There Goes My Baby,83,2010
483,Today Was A Fairytale,84,2010
484,Say Something,85,2010
485,Sweet Dreams,86,2010
486,Use Somebody,87,2010
487,Undo It,88,2010
488,Eenie Meenie,89,2010
489,Right Above It,90,2010
490,The House That Built Me,91,2010
491,If I Die Young,92,2010
492,The Only Exception,93,2010
493,American Honey,94,2010
494,King Of Anything,95,2010
495,Life After You,96,2010
496,Smile,97,2010
497,Teach Me How To Dougie,98,2010
498,Try Sleeping With A Broken Heart,99,2010
499,"Lover, Lover",100,2010
500,Rolling In The Deep,1,2011
501,Party Rock Anthem,2,2011
502,Firework,3,2011
503,E.T.,4,2011
504,Give Me Everything,5,2011
505,Grenade,6,2011
506,Super Bass,7,2011
507,Moves Like Jagger,8,2011
508,Just Can't Get Enough,9,2011
509,On The Floor,10,2011
510,S&M,11,2011
511,Pumped Up Kicks,12,2011
512,Last Friday Night (T.G.I.F.),13,2011
513,Just The Way You Are,14,2011
514,Tonight (I'm Lovin' You),15,2011
515,Raise Your Glass,16,2011
516,Born This Way,17,2011
517,F**kin' Perfect,18,2011
518,What's My Name?,19,2011
519,Look At Me Now,20,2011
520,Down On Me,21,2011
521,How To Love,22,2011
522,Someone Like You,23,2011
523,Good Life,24,2011
524,The Lazy Song,25,2011
525,Till The World Ends,26,2011
526,The Show Goes On,27,2011
527,The Edge Of Glory,28,2011
528,We R Who We R,29,2011
529,Black And Yellow,30,2011
530,Tonight Tonight,31,2011
531,Blow,32,2011
532,Lighters,33,2011
533,If I Die Young,34,2011
534,Stereo Hearts,35,2011
535,The Time (Dirty Bit),36,2011
536,Coming Home,37,2011
537,Hey Baby (Drop It To The Floor),38,2011
538,Only Girl (In The World),39,2011
539,6 Foot 7 Foot,40,2011
540,Just A Kiss,41,2011
541,Dirt Road Anthem,42,2011
542,Dynamite,43,2011
543,No Hands,44,2011
544,I Wanna Go,45,2011
545,I'm On One,46,2011
546,You Make Me Feel...,47,2011
547,Yeah 3X,48,2011
548,Moment 4 Life,49,2011
549,I Need A Doctor,50,2011
550,Just A Dream,51,2011
551,Motivation,52,2011
552,Stereo Love,53,2011
553,Jar Of Hearts,54,2011
554,Roll Up,55,2011
555,Sexy And I Know It,56,2011
556,Rocketeer,57,2011
