fk_song,fk_artist
1026,595
1027,176
1027,557
1028,222
1028,655
1029,319
1030,655
1031,510
1032,139
1032,393
1033,89
1034,36
1035,176
1035,222
1036,233
1036,500
1037,22
1038,592
1039,176
1040,437
1040,306
1041,114
1042,276
1043,437
1044,721
1044,456
1045,171
1045,319
1046,336
1047,213
1048,114
1048,592
1049,36
1050,348
1051,89
1052,206
1052,551
1053,294
1054,592
1055,339
1056,655
1056,144
1057,170
1057,176
1058,214
1058,321
1059,655
1060,437
1061,189
1062,657
1063,534
1064,485
1064,669
1065,699
1066,392
1066,694
1066,267
1066,402
1066,677
1066,699
1067,707
1067,488
1068,668
1069,58
1070,655
1071,135
1072,668
1073,673
1074,572
1075,36
1075,488
1076,156
1077,632
1078,171
1078,63
1079,190
1080,176
1080,652
1081,18
1082,156
1083,419
1083,171
1083,457
1084,595
1084,98
1085,601
1086,122
1087,682
1087,714
1088,496
1088,710
1089,339
1090,208
1090,206
1091,247
1091,240
1091,725
1092,135
1093,661
1094,222
1095,161
1096,694
1096,114
1097,505
1098,183
1099,406
1099,143
1099,319
1100,88
1101,334
1102,640
1102,135
1103,444
1103,391
1104,640
1104,248
1105,579
1106,267
1107,534
1107,540
1108,275
1109,170
1109,319
1109,540
1109,111
1109,392
1110,391
1111,222
1112,219
1112,621
1113,88
1114,725
1114,22
1115,170
1115,557
1115,89
1116,544
1116,241
1117,655
1117,144
1118,343
1119,114
1120,595
1121,100
1122,120
1123,724
1123,632
1124,360
1124,592
1125,362
1125,393
1126,318
1127,22
1128,402
1128,22
1128,343
1129,484
1130,557
1131,655
1131,144
1132,59
1133,376
1133,540
1134,176
1135,426
1135,334
1136,632
1137,183
1138,413
1138,98
1139,640
1140,36
1140,488
1141,130
1141,589
1141,35
1142,533
1143,171
1143,319
1144,159
1145,2
1146,320
1147,270
1147,693
1147,58
1148,267
1149,444
1150,707
1150,488
1151,595
1152,353
1153,534
1153,2
1154,85
1155,676
1156,248
1157,29
1158,44
1158,635
1159,334
1160,722
1160,723
1161,544
1162,176
1163,334
1163,557
1164,338
1165,673
1166,426
1166,222
1167,139
1167,393
1168,97
1168,218
1168,444
1169,324
1169,368
1170,328
1170,602
1171,97
1171,520
1171,328
1171,59
1172,311
1173,409
1174,580
1175,343
1176,526
1177,623
1177,673
1178,11
1178,353
1179,247
1179,240
1179,725
1180,241
1180,176
1181,510
1182,283
1182,488
1182,677
1183,444
1183,241
1184,249
1185,18
