song_id,title,artist,rank,year
211,Take A Bow,Rihanna,12,2008
212,Viva La Vida,Coldplay,13,2008
213,I Kissed A Girl,Katy Perry,14,2008
214,Whatever You Like,T.I.,15,2008
215,Disturbia,Rihanna,16,2008
216,Don't Stop The Music,Rihanna,17,2008
217,Pocketful Of Sunshine,Natasha Bedingfield,18,2008
218,Kiss Kiss,Chris Brown Featuring T-Pain,19,2008
219,Closer,Ne-Yo,20,2008
220,Bubbly,Colbie Caillat,21,2008
221,Touch My Body,Mariah Carey,22,2008
222,4 Minutes,Madonna Featuring Justin Timberlake & Timbaland,23,2008
223,So What,P!nk,24,2008
224,Paralyzer,Finger Eleven,25,2008
225,Clumsy,Fergie,26,2008
226,I'm Yours,Jason Mraz,27,2008
227,Leavin',Jesse McCartney,28,2008
228,Dangerous,Kardinal Offishall Featuring Akon,29,2008
229,Tattoo,Jordin Sparks,30,2008
230,See You Again,Miley Cyrus,31,2008
231,Shake It,Metro Station,32,2008
232,Stop And Stare,OneRepublic,33,2008
233,Take You There,Sean Kingston,34,2008
234,Paper Planes,M.I.A.,35,2008
235,Hot N Cold,Katy Perry,36,2008
236,Live Your Life,T.I. Featuring Rihanna,37,2008
237,Bust It Baby Part 2,Plies Featuring Ne-Yo,38,2008
238,American Boy,Estelle Featuring Kanye West,39,2008
239,Got Money,Lil Wayne Featuring T-Pain,40,2008
240,Our Song,Taylor Swift,41,2008
241,Damaged,Danity Kane,42,2008
242,A Milli,Lil Wayne,43,2008
243,Sorry,Buckcherry,44,2008
244,Independent,Webbie Featuring Lil' Phat & Lil' Boosie,45,2008
245,Can't Believe It,T-Pain Featuring Lil Wayne,46,2008
246,Like You'll Never See Me Again,Alicia Keys,47,2008
247,Teardrops On My Guitar,Taylor Swift,48,2008
248,When I Grow Up,The Pussycat Dolls,49,2008
249,Sensual Seduction,Snoop Dogg,50,2008
250,What You Got,Colby O'Donis Featuring Akon,51,2008
251,It's Not My Time,3 Doors Down,52,2008
252,Better In Time,Leona Lewis,53,2008
253,Crank That (Soulja Boy),Soulja Boy Tell'em,54,2008
254,Shadow Of The Day,Linkin Park,55,2008
255,Sweetest Girl (Dollar Bill),"Wyclef Jean Featuring Akon, Lil Wayne & Niia",56,2008
256,Miss Independent,Ne-Yo,57,2008
257,Fall For You,Secondhand Serenade,58,2008
258,In The Ayer,Flo Rida Featuring will.i.am,59,2008
259,Say,John Mayer,60,2008
260,One Step At A Time,Jordin Sparks,61,2008
261,Hate That I Love You,Rihanna Featuring Ne-Yo,62,2008
262,Superstar,Lupe Fiasco Featuring Matthew Santos,63,2008
263,Suffocate,J. Holiday,64,2008
264,Let It Rock,Kevin Rudolf Featuring Lil Wayne,65,2008
265,Get Like Me,David Banner Featuring Chris Brown,66,2008
266,Realize,Colbie Caillat,67,2008
267,Put On,Young Jeezy Featuring Kanye West,68,2008
268,The Time Of My Life,David Cook,69,2008
269,Lolli Lolli (Pop That Body),"Three 6 Mafia Featuring Project Pat, Young D & Superpower",70,2008
270,Cyclone,Baby Bash Featuring T-Pain,71,2008
271,Love Like This,Natasha Bedingfield Featuring Sean Kingston,72,2008
272,Burnin' Up,Jonas Brothers,73,2008
273,Love Lockdown,Kanye West,74,2008
274,I Luv Your Girl,The-Dream,75,2008
275,Crush,David Archuleta,76,2008
276,Hypnotized,Plies Featuring Akon,77,2008
277,Big Girls Don't Cry,Fergie,78,2008
278,Good Life,Kanye West Featuring T-Pain,79,2008
279,Womanizer,Britney Spears,80,2008
280,Love Story,Taylor Swift,81,2008
281,Just Fine,Mary J. Blige,82,2008
282,Piece Of Me,Britney Spears,83,2008
283,The Boss,Rick Ross Featuring T-Pain,84,2008
284,All Summer Long,Kid Rock,85,2008
285,Can't Help But Wait,Trey Songz,86,2008
286,In Love With A Girl,Gavin DeGraw,87,2008
287,My Life,The Game Featuring Lil Wayne,88,2008
288,I Remember,Keyshia Cole,89,2008
289,Flashing Lights,Kanye West Featuring Dwele,90,2008
290,Mrs. Officer,Lil Wayne Featuring Bobby Valentino & Kidd Kidd,91,2008
291,7 Things,Miley Cyrus,92,2008
292,You're Gonna Miss This,Trace Adkins,93,2008
293,Love Remains The Same,Gavin Rossdale,94,2008
294,Feels Like Tonight,Daughtry,95,2008
295,The Way I Are,Timbaland Featuring Keri Hilson,96,2008
296,Addicted,Saving Abel,97,2008
297,Into The Night,Santana Featuring Chad Kroeger,98,2008
298,Heaven Sent,Keyshia Cole,99,2008
299,She Got It,2 Pistols Featuring T-Pain & Tay Dizm,100,2008
300,Boom Boom Pow,The Black Eyed Peas,1,2009
301,Poker Face,Lady Gaga,2,2009
302,Just Dance,Lady Gaga Featuring Colby O'Donis,3,2009
303,I Gotta Feeling,The Black Eyed Peas,4,2009
304,Love Story,Taylor Swift,5,2009
305,Right Round,Flo Rida,6,2009
306,I'm Yours,Jason Mraz,7,2009
307,Single Ladies (Put A Ring On It),Beyonce,8,2009
308,Heartless,Kanye West,9,2009
309,Gives You Hell,The All-American Rejects,10,2009
310,You Belong With Me,Taylor Swift,11,2009
311,Dead And Gone,T.I. Featuring Justin Timberlake,12,2009
312,You Found Me,The Fray,13,2009
313,Use Somebody,Kings Of Leon,14,2009
314,Knock You Down,Keri Hilson Featuring Kanye West & Ne-Yo,15,2009
315,Blame It,Jamie Foxx Featuring T-Pain,16,2009
316,I Know You Want Me (Calle Ocho),Pitbull,17,2009
317,Live Your Life,T.I. Featuring Rihanna,18,2009
318,Kiss Me Thru The Phone,Soulja Boy Tell 'em Featuring Sammie,19,2009
319,Down,Jay Sean Featuring Lil Wayne,20,2009
320,The Climb,Miley Cyrus,21,2009
321,Best I Ever Had,Drake,22,2009
322,My Life Would Suck Without You,Kelly Clarkson,23,2009
323,Halo,Beyonce,24,2009
324,Hot N Cold,Katy Perry,25,2009
325,Second Chance,Shinedown,26,2009
326,Circus,Britney Spears,27,2009
327,Day 'N' Nite,Kid Cudi,28,2009
328,Party In The U.S.A.,Miley Cyrus,29,2009
329,Don't Trust Me,3OH!3,30,2009
330,Run This Town,"Jay-Z, Rihanna & Kanye West",31,2009
331,Let It Rock,Kevin Rudolf Featuring Lil Wayne,32,2009
332,Fire Burning,Sean Kingston,33,2009
333,Whatcha Say,Jason Derulo,34,2009
334,LoveGame,Lady Gaga,35,2009
335,Waking Up In Vegas,Katy Perry,36,2009
336,Birthday Sex,Jeremih,37,2009
337,Sober,P!nk,38,2009
338,Womanizer,Britney Spears,39,2009
339,Whatever You Like,T.I.,40,2009
340,Obsessed,Mariah Carey,41,2009
341,Mad,Ne-Yo,42,2009
342,Good Girls Go Bad,Cobra Starship Featuring Leighton Meester,43,2009
343,Love Lockdown,Kanye West,44,2009
344,So What,P!nk,45,2009
345,Hotel Room Service,Pitbull,46,2009
346,Crack A Bottle,"Eminem, Dr. Dre & 50 Cent",47,2009
347,If I Were A Boy,Beyonce,48,2009
348,Turnin Me On,Keri Hilson Featuring Lil Wayne,49,2009
349,I Hate This Part,The Pussycat Dolls,50,2009
350,Gotta Be Somebody,Nickelback,51,2009
351,Please Don't Leave Me,P!nk,52,2009
352,Paparazzi,Lady Gaga,53,2009
353,Beautiful,Akon Featuring Colby O'Donis & Kardinal Offishall,54,2009
354,Viva La Vida,Coldplay,55,2009
355,Right Now (Na Na Na),Akon,56,2009
356,Battlefield,Jordin Sparks,57,2009
357,Sugar,Flo Rida Featuring Wynter,58,2009
358,Miss Independent,Ne-Yo,59,2009
359,Fireflies,Owl City,60,2009
360,New Divide,Linkin Park,61,2009
361,Empire State Of Mind,Jay-Z + Alicia Keys,62,2009
362,No Surprise,Daughtry,63,2009
363,She Wolf,Shakira,64,2009
364,Break Up,Mario Featuring Gucci Mane & Sean Garrett,65,2009
365,Sweet Dreams,Beyonce,66,2009
366,Every Girl,Young Money,67,2009
367,Fallin' For You,Colbie Caillat,68,2009
368,Untouched,The Veronicas,69,2009
369,If Today Was Your Last Day,Nickelback,70,2009
370,Throw It In The Bag,Fabolous Featuring The-Dream,71,2009
371,Love Drunk,Boys Like Girls,72,2009
372,I Love College,Asher Roth,73,2009
373,If U Seek Amy,Britney Spears,74,2009
374,Big Green Tractor,Jason Aldean,75,2009
375,White Horse,Taylor Swift,76,2009
376,Disturbia,Rihanna,77,2009
377,21 Guns,Green Day,78,2009
378,Turn My Swag On,Soulja Boy Tell'em,79,2009
379,Rockin' That Thang,The-Dream,80,2009
380,Chicken Fried,Zac Brown Band,81,2009
381,Diva,Beyonce,82,2009
382,Replay,Iyaz,83,2009
383,Then,Brad Paisley,84,2009
384,Her Diamonds,Rob Thomas,85,2009
385,How Do You Sleep?,Jesse McCartney Featuring Ludacris,86,2009
386,3,Britney Spears,87,2009
387,Forever,"Drake Featuring Kanye West, Lil Wayne & Eminem",88,2009
388,One Time,Justin Bieber,89,2009
389,I Run To You,Lady Antebellum,90,2009
390,I Do Not Hook Up,Kelly Clarkson,91,2009
391,Green Light,John Legend Featuring Andre 3000,92,2009
392,People Are Crazy,Billy Currington,93,2009
393,Whatever It Is,Zac Brown Band,94,2009
394,Already Gone,Kelly Clarkson,95,2009
395,Goodbye,Kristinia DeBarge,96,2009
396,Say Hey (I Love You),Michael Franti & Spearhead Featuring Cherine Anderson,97,2009
397,Pop Champagne,Jim Jones & Ron Browz Featuring Juelz Santana,98,2009
398,Pretty Wings,Maxwell,99,2009
399,Never Say Never,The Fray,100,2009
400,TiK ToK,Ke$ha,1,2010
401,Need You Now,Lady Antebellum,2,2010
402,"Hey, Soul Sister",Train,3,2010
403,California Gurls,Katy Perry Featuring Snoop Dogg,4,2010
404,OMG,Usher Featuring will.i.am,5,2010
405,Airplanes,B.o.B Featuring Hayley Williams,6,2010
406,Love The Way You Lie,Eminem Featuring Rihanna,7,2010
407,Bad Romance,Lady Gaga,8,2010
408,Dynamite,Taio Cruz,9,2010
409,Break Your Heart,Taio Cruz Featuring Ludacris,10,2010
410,Nothin' On You,B.o.B Featuring Bruno Mars,11,2010
411,I Like It,Enrique Iglesias Featuring Pitbull,12,2010
412,BedRock,Young Money Featuring Lloyd,13,2010
413,In My Head,Jason Derulo,14,2010
414,Rude Boy,Rihanna,15,2010
415,Telephone,Lady Gaga Featuring Beyonce,16,2010
416,Teenage Dream,Katy Perry,17,2010
417,Just The Way You Are,Bruno Mars,18,2010
418,Cooler Than Me,Mike Posner,19,2010
419,Imma Be,The Black Eyed Peas,20,2010
420,Empire State Of Mind,Jay-Z + Alicia Keys,21,2010
421,DJ Got Us Fallin' In Love,Usher Featuring Pitbull,22,2010
422,Billionaire,Travie McCoy Featuring Bruno Mars,23,2010
423,Not Afraid,Eminem,24,2010
424,Replay,Iyaz,25,2010
425,Sexy Chick,David Guetta Featuring Akon,26,2010
426,Breakeven,The Script,27,2010
427,Your Love Is My Drug,Ke$ha,28,2010
428,I Gotta Feeling,The Black Eyed Peas,29,2010
429,Fireflies,Owl City,30,2010
430,Say Aah,Trey Songz Featuring Fabolous,31,2010
431,Find Your Love,Drake,32,2010
432,Alejandro,Lady Gaga,33,2010
433,Ridin' Solo,Jason Derulo,34,2010
434,Just A Dream,Nelly,35,2010
435,How Low,Ludacris,36,2010
436,Like A G6,Far*East Movement Featuring Cataracs & Dev,37,2010
437,Carry Out,Timbaland Featuring Justin Timberlake,38,2010
438,Haven't Met You Yet,Michael Buble,39,2010
439,Club Can't Handle Me,Flo Rida Featuring David Guetta,40,2010
440,Down,Jay Sean Featuring Lil Wayne,41,2010
441,Bulletproof,La Roux,42,2010
442,Whatcha Say,Jason Derulo,43,2010
443,Baby,Justin Bieber Featuring Ludacris,44,2010
444,Whataya Want From Me,Adam Lambert,45,2010
445,Mine,Taylor Swift,46,2010
446,Only Girl (In The World),Rihanna,47,2010
447,Live Like We're Dying,Kris Allen,48,2010
448,Hard,Rihanna Featuring Jeezy,49,2010
449,Young Forever,Jay-Z + Mr. Hudson,50,2010
450,Blah Blah Blah,Ke$ha Featuring 3OH!3,51,2010
451,Bottoms Up,Trey Songz Featuring Nicki Minaj,52,2010
452,Do You Remember,Jay Sean Featuring Sean Paul & Lil Jon,53,2010
453,All The Right Moves,OneRepublic,54,2010
454,According To You,Orianthi,55,2010
455,My Chick Bad,Ludacris Featuring Nicki Minaj,56,2010
456,You Belong With Me,Taylor Swift,57,2010
457,Meet Me Halfway,The Black Eyed Peas,58,2010
458,Take It Off,Ke$ha,59,2010
459,Over,Drake,60,2010
460,Animal,Neon Trees,61,2010
461,Misery,Maroon 5,62,2010
462,Magic,B.o.B Featuring Rivers Cuomo,63,2010
463,Paparazzi,Lady Gaga,64,2010
